-nan -nan
0.250 0.250
-nan -nan
-nan -nan
-nan -nan
-nan -nan
-nan -nan
-nan -nan
-nan -nan
-nan -nan
-nan -nan
0.250 0.250
0.250 -nan
0.250 -nan
-nan -nan
-nan -nan
-nan -nan
-nan -nan
-nan -nan
-nan -nan
-nan -nan
0.500 0.500
0.694 0.694
0.667 0.667
0.568 0.568
0.750 0.694
0.750 0.810
0.310 0.299
0.287 0.297
0.289 0.270
0.345 0.250
0.271 -nan
0.397 0.250
0.579 0.250
0.368 -nan
0.346 -nan
0.400 -nan
0.481 0.250
0.450 0.250
0.400 0.250
0.494 0.264
0.322 0.268
0.268 0.268
0.750 0.250
-nan 0.250
0.250 0.250
0.250 0.250
0.250 0.250
0.250 0.250
0.250 0.250
0.250 0.250
0.250 0.250
0.250 0.250
0.250 0.250
0.262 0.250
-nan 0.250
0.250 -nan
0.250 0.250
0.250 0.250
0.250 0.250
0.250 0.250
0.250 0.250
0.250 0.250
0.382 0.313
0.500 0.250
0.571 0.250
0.450 0.250
0.450 0.368
0.450 0.450
0.450 0.450
0.450 0.450
0.500 0.500
0.500 0.500
0.500 0.318
0.643 0.583
0.643 0.643
0.568 0.568
0.643 0.643
0.568 0.568
0.667 0.667
0.667 0.667
0.750 0.694
0.667 0.694
0.667 0.667
0.667 0.667
0.694 0.694
0.667 0.667
0.750 0.750
0.667 0.667
0.667 0.667
0.750 0.750
0.667 0.667
0.750 0.750
0.667 0.667
0.750 0.750
0.374 0.374
0.500 0.250
0.750 0.250
0.694 0.450
0.568 0.454
0.667 0.750
0.750 0.667
0.667 0.667
0.667 0.750
0.750 0.667
0.667 0.667
0.378 0.667
0.667 0.450
0.450 0.368
0.750 0.500
0.694 0.450
0.643 0.614
0.750 0.750
0.667 0.667
0.667 0.667
0.667 0.667
0.305 0.283
0.492 0.400
0.492 0.368
0.419 0.250
0.379 0.250
0.735 0.250
0.643 0.450
0.750 0.450
0.694 0.450
0.694 0.368
0.500 0.500
0.481 0.269
0.500 0.250
0.615 0.494
0.727 0.614
0.880 0.817
0.889 0.568
0.962 0.568
0.671 0.758
0.475 0.500
0.893 0.614
0.880 0.735
0.494 0.494
0.595 0.382
0.862 0.667
0.818 0.741
0.783 0.672
0.817 0.494
0.833 0.250
0.720 0.400
0.845 0.500
0.833 0.450
0.964 0.481
0.698 0.450
0.964 0.360
0.833 0.568
0.889 0.694
0.727 0.454
0.817 0.643
0.833 0.402
0.727 0.727
0.889 0.643
0.643 0.942
0.942 0.889
0.667 0.500
0.667 0.400
0.800 0.579
0.889 0.643
0.810 0.900
0.817 0.817
0.889 0.889
0.900 0.694
0.900 0.694
0.964 0.833
0.893 0.900
0.900 0.667
0.817 0.727
0.900 0.942
0.900 0.900
0.900 0.900
0.900 0.900
0.750 0.893
0.900 0.643
0.893 0.667
0.942 0.810
0.900 0.900
0.900 0.900
0.900 0.893
0.893 0.900
0.900 0.900
0.893 0.893
0.893 0.750
1.000 0.667
0.667 0.500
0.900 0.450
0.667 0.368
0.900 0.500
0.750 0.583
0.900 0.667
0.893 0.667
0.900 0.413
0.750 1.000
0.900 0.667
0.568 0.454
0.694 0.694
0.893 0.667
0.667 0.450
0.942 0.810
0.893 0.667
0.667 0.893
0.893 0.893
0.893 0.893
0.893 0.893
0.667 0.750
0.667 0.694
0.893 1.000
1.000 0.893
0.893 0.893
1.000 1.000
0.750 0.500
0.694 0.893
1.000 0.893
1.000 1.000
0.667 0.667
0.500 0.500
0.893 0.750
1.000 0.667
0.893 0.645
0.750 0.750
1.000 1.000
1.000 1.000
0.893 0.893
0.750 0.750
0.750 0.750
1.000 0.750
1.000 0.500
0.667 0.645
1.000 1.000
0.893 0.893
0.750 0.500
0.667 1.000
1.000 1.000
0.750 0.450
0.667 0.667
0.750 0.750
1.000 0.750
0.568 0.667
0.727 0.481
0.454 0.583
0.568 0.368
0.568 0.568
0.800 0.568
0.568 0.579
0.750 0.750
0.893 0.893
0.667 0.667
0.893 0.893
0.893 0.893
0.694 0.694
0.893 0.893
0.893 0.893
0.667 0.750
0.500 0.450
0.667 0.450
0.893 0.450
0.893 0.500
0.900 0.667
0.667 0.645
0.667 0.893
1.000 0.750
0.893 0.667
0.667 0.500
0.893 1.000
0.893 0.900
1.000 1.000
0.893 1.000
0.750 0.667
1.000 1.000
0.893 0.893
0.750 0.750
0.893 0.667
0.750 0.750
1.000 0.750
0.893 0.645
1.000 0.750
0.750 1.000
0.893 0.750
1.000 0.667
0.893 0.645
1.000 1.000
1.000 1.000
0.893 0.667
0.750 1.000
1.000 1.000
0.893 0.893
1.000 1.000
1.000 1.000
0.667 0.750
1.000 0.893
1.000 0.750
0.750 1.000
1.000 1.000
1.000 1.000
0.750 0.750
0.893 0.667
0.750 1.000
1.000 0.750
0.750 1.000
0.750 0.750
1.000 1.000
1.000 0.750
0.750 1.000
0.750 0.750
0.750 0.500
0.750 0.500
0.750 0.750
0.893 0.645
1.000 1.000
1.000 1.000
0.750 0.500
0.750 1.000
1.000 1.000
1.000 1.000
1.000 1.000
0.750 0.750
0.750 0.750
1.000 1.000
0.750 0.750
0.500 0.500
0.750 0.750
0.750 0.750
0.750 0.500
0.750 0.500
0.893 0.500
1.000 0.750
0.450 0.368
1.000 1.000
1.000 0.750
0.750 1.000
0.750 0.750
1.000 1.000
1.000 0.750
0.500 0.750
1.000 1.000
1.000 1.000
0.750 0.750
1.000 1.000
0.750 0.750
0.750 0.750
0.750 0.750
1.000 0.750
0.500 0.250
0.667 0.500
1.000 1.000
