-nan -nan
0.250 0.250
-nan -nan
-nan -nan
-nan -nan
-nan -nan
-nan -nan
-nan -nan
-nan -nan
-nan -nan
-nan -nan
0.250 0.250
0.250 0.250
-nan -nan
-nan -nan
-nan -nan
-nan -nan
-nan -nan
-nan -nan
-nan -nan
-nan -nan
-nan -nan
0.250 0.250
0.250 0.250
0.250 0.250
0.250 0.250
0.250 0.250
0.250 0.250
0.250 0.250
0.250 0.250
0.250 0.250
0.291 0.312
0.422 0.320
0.250 0.250
0.250 0.250
0.250 0.250
0.250 0.250
0.250 0.250
0.250 0.250
0.250 0.250
0.250 0.250
0.250 0.250
0.312 0.312
0.450 0.414
0.414 0.414
0.400 0.434
0.443 0.464
0.436 0.464
0.450 0.450
0.469 0.469
0.499 0.486
0.356 0.250
0.346 0.300
0.411 0.422
0.481 0.499
0.468 0.485
0.400 0.250
0.388 0.291
0.485 0.468
0.500 0.496
0.250 0.368
0.250 0.250
0.250 0.250
0.250 0.250
0.250 0.250
0.250 0.250
0.250 0.250
0.250 0.250
0.250 0.250
0.250 0.250
0.368 0.288
0.541 0.528
0.542 0.473
-nan -nan
-nan -nan
-nan -nan
-nan -nan
-nan -nan
-nan -nan
-nan -nan
-nan -nan
-nan -nan
1.000 0.750
0.496 0.450
0.462 0.486
-nan 0.500
-nan -nan
-nan -nan
-nan -nan
-nan -nan
-nan -nan
-nan -nan
0.500 0.250
0.250 0.250
0.250 0.250
0.500 0.750
0.500 -nan
-nan -nan
-nan -nan
-nan -nan
-nan -nan
-nan -nan
0.250 -nan
0.250 0.250
0.250 0.250
0.481 0.400
0.500 0.727
0.500 -nan
-nan -nan
-nan -nan
-nan -nan
-nan -nan
-nan -nan
-nan -nan
-nan -nan
0.250 0.250
0.490 0.500
0.500 0.645
0.500 -nan
-nan -nan
-nan -nan
-nan -nan
-nan -nan
-nan -nan
-nan -nan
-nan -nan
0.250 0.250
0.490 0.481
1.000 0.727
0.450 -nan
0.250 -nan
0.250 -nan
0.250 -nan
0.250 -nan
0.250 -nan
0.250 -nan
0.250 -nan
0.450 0.250
0.694 0.250
0.893 0.406
0.810 0.250
0.614 0.494
0.643 0.481
0.650 0.481
0.650 0.481
0.604 0.450
0.533 0.475
0.512 0.462
0.454 0.447
0.494 0.391
0.538 0.654
0.550 0.368
0.514 0.645
0.547 0.431
0.497 0.351
0.382 0.382
0.363 0.405
0.360 0.380
0.374 0.382
0.286 0.286
0.295 0.250
0.307 0.368
0.352 0.352
0.361 0.397
0.377 0.300
0.409 0.365
0.342 0.374
0.372 0.421
0.509 0.554
0.534 0.568
0.549 0.554
0.628 0.672
0.672 0.598
0.583 0.522
0.624 0.458
0.672 0.707
0.671 0.643
0.659 0.671
0.648 0.671
0.628 0.648
0.628 0.650
0.643 0.648
0.643 0.628
0.558 0.595
0.494 0.488
0.494 0.494
0.494 0.481
0.499 0.488
0.496 0.481
0.490 0.481
0.465 0.490
0.473 0.496
0.481 0.490
0.528 0.507
0.639 0.655
0.492 0.428
0.499 0.497
0.500 0.486
0.499 0.492
0.499 0.500
0.500 0.497
0.497 0.497
0.499 0.500
0.500 0.500
0.499 0.497
0.609 0.609
0.688 0.618
0.694 0.667
0.667 0.699
0.643 0.596
0.686 0.583
0.732 0.735
0.731 0.694
0.721 0.694
0.721 0.731
0.728 0.731
0.731 0.721
0.728 0.721
0.708 0.728
0.694 0.731
0.694 0.728
0.717 0.708
0.731 0.694
0.776 0.850
0.889 0.843
0.964 0.942
0.942 0.942
0.959 0.954
0.917 0.778
0.798 0.728
0.794 0.731
0.794 0.731
0.814 0.722
0.821 0.714
0.805 0.711
0.771 0.703
0.812 0.704
0.804 0.738
0.793 0.735
0.560 0.450
0.615 0.544
0.742 0.662
0.650 0.557
0.617 0.250
0.672 0.400
0.583 0.497
0.583 0.346
0.583 0.471
0.557 0.490
0.663 0.663
0.709 0.738
0.583 0.628
0.631 0.665
0.250 0.400
-nan -nan
-nan -nan
-nan -nan
-nan -nan
-nan -nan
-nan -nan
-nan -nan
0.250 -nan
0.250 0.250
0.671 0.561
0.389 0.250
0.295 0.274
0.291 0.273
0.302 0.250
0.308 0.250
0.316 0.250
0.320 0.250
0.360 0.250
0.331 0.250
0.331 0.250
0.698 0.484
0.578 0.422
0.627 0.436
0.664 0.460
0.704 0.498
0.698 0.481
0.679 0.471
0.700 0.481
0.700 0.494
0.671 0.499
0.659 0.500
0.720 0.720
0.561 0.481
0.899 0.426
-nan -nan
-nan -nan
-nan -nan
-nan -nan
-nan -nan
-nan -nan
-nan -nan
-nan -nan
-nan -nan
0.750 0.250
0.857 0.857
0.356 0.250
0.250 -nan
0.250 -nan
0.250 -nan
0.250 -nan
0.250 -nan
0.250 -nan
0.250 -nan
0.250 -nan
0.400 -nan
0.880 0.503
0.331 0.643
-nan -nan
-nan -nan
-nan -nan
-nan -nan
-nan -nan
-nan -nan
-nan -nan
-nan -nan
0.250 0.250
0.727 0.653
0.833 0.500
0.422 0.250
0.400 0.250
0.400 0.250
0.400 0.250
0.400 0.250
0.382 0.250
0.368 0.250
0.450 0.250
0.400 0.250
0.893 0.387
0.481 0.250
0.250 0.250
0.250 0.250
0.250 0.250
0.250 0.250
0.250 0.250
0.250 0.250
0.250 0.250
0.250 0.250
0.331 0.320
0.893 0.818
0.346 0.388
0.250 0.250
0.250 0.250
0.250 0.250
0.250 0.250
0.250 0.250
0.250 0.250
0.250 0.250
0.250 0.250
0.271 0.267
0.595 0.422
0.715 0.715
0.500 -nan
0.500 0.250
0.450 0.250
0.382 0.250
0.368 0.250
0.388 0.250
0.346 0.250
0.331 0.250
0.331 0.250
0.338 0.300
0.685 0.481
0.382 0.499
0.374 0.374
0.407 0.426
0.394 0.419
0.377 0.388
0.384 0.394
0.322 0.325
0.300 0.346
0.336 0.250
0.346 0.361
0.368 0.419
0.450 0.434
0.356 0.250
0.346 0.300
0.400 0.422
0.468 0.500
0.549 0.549
0.633 0.618
0.588 0.490
0.588 0.667
0.560 0.579
0.346 0.250
0.388 0.388
0.471 0.499
0.494 0.494
0.481 0.494
0.481 0.494
0.500 0.500
0.500 0.496
0.500 0.496
0.496 0.500
0.496 0.500
0.500 0.500
0.500 0.496
0.500 0.496
0.499 0.500
0.496 0.500
0.499 0.500
0.500 0.499
0.499 0.496
0.618 0.526
0.436 0.436
0.450 0.471
0.471 0.485
0.471 0.471
0.460 0.460
0.473 0.481
0.465 0.481
0.477 0.490
0.492 0.492
