-nan -nan
0.250 0.250
0.250 -nan
0.485 0.250
0.250 0.481
0.497 0.250
0.250 0.291
0.346 -nan
-nan -nan
0.250 -nan
-nan 0.250
0.500 0.250
0.250 0.331
0.250 0.250
0.250 0.250
0.250 0.250
0.250 0.250
0.250 0.250
0.250 0.250
0.250 0.250
0.250 0.250
0.312 0.250
0.250 0.312
0.305 0.250
0.250 0.500
0.250 -nan
0.422 0.250
0.250 0.250
0.250 0.250
0.250 0.250
0.250 0.250
0.250 0.250
0.250 0.250
0.250 0.250
0.250 0.250
0.500 0.250
0.533 0.747
0.450 0.250
0.500 0.320
0.500 0.250
0.250 0.250
0.250 -nan
0.450 -nan
0.250 -nan
0.250 -nan
0.250 -nan
0.481 -nan
0.450 0.368
0.250 0.250
0.331 0.268
0.250 0.250
-nan -nan
-nan -nan
-nan -nan
-nan -nan
-nan -nan
-nan -nan
-nan -nan
-nan -nan
0.250 0.250
0.667 0.400
0.250 0.331
0.250 0.250
0.263 0.250
-nan 0.346
-nan -nan
-nan -nan
0.250 -nan
-nan -nan
-nan -nan
0.500 0.500
0.250 0.250
0.450 0.450
0.250 0.250
0.617 0.494
0.400 0.450
0.250 0.250
0.283 -nan
0.250 0.250
0.250 -nan
0.250 -nan
0.331 -nan
0.250 0.250
0.250 -nan
0.250 -nan
0.421 0.250
0.513 0.250
0.250 0.255
0.331 0.250
0.250 0.290
0.287 0.250
0.250 0.283
0.273 0.250
0.250 0.250
0.331 0.250
0.312 0.368
0.281 0.250
0.328 0.309
0.334 0.338
0.368 0.400
0.377 0.406
0.377 0.382
0.377 0.377
0.411 0.405
0.477 0.411
0.498 0.305
0.454 0.250
0.325 0.377
0.413 0.250
0.368 0.568
0.356 0.250
0.498 0.250
0.436 0.250
0.378 0.331
0.331 0.250
0.445 0.494
0.424 0.264
0.508 0.250
0.411 0.250
0.404 0.250
0.418 0.250
0.464 0.495
0.411 0.250
0.464 0.300
0.382 0.250
0.478 0.412
0.368 0.360
0.526 0.462
0.485 0.500
0.528 0.438
0.418 0.400
0.542 0.499
0.450 0.250
0.481 0.460
0.471 0.250
0.471 0.490
0.450 0.450
0.450 0.481
0.468 0.481
0.473 0.473
0.465 0.465
0.450 0.465
0.450 0.465
0.450 0.465
0.471 0.450
0.486 0.450
0.477 0.458
0.465 0.464
0.465 0.486
0.391 0.418
0.250 0.250
0.250 0.250
0.250 0.250
0.250 0.250
0.250 0.250
0.250 0.250
0.250 0.250
0.331 0.481
0.250 0.250
0.353 0.353
0.471 0.450
0.535 0.497
0.317 0.316
0.364 0.250
0.374 0.362
0.481 0.499
0.496 0.490
0.492 0.499
0.486 0.499
0.486 0.486
0.486 0.481
0.481 0.475
0.462 0.475
0.478 0.475
0.490 0.469
0.538 0.496
0.500 0.531
0.526 0.500
0.250 0.500
0.295 0.250
0.250 0.250
0.305 0.250
0.250 0.250
0.312 0.250
0.250 0.250
0.250 0.250
0.300 0.250
0.300 0.250
0.527 0.422
0.602 0.500
0.250 0.331
0.450 0.250
0.250 0.450
0.721 0.250
0.250 0.667
0.250 0.250
0.300 0.300
0.346 0.250
0.400 0.579
0.250 0.250
0.516 0.471
0.478 0.472
0.379 0.557
-nan -nan
0.500 -nan
-nan -nan
0.250 -nan
-nan -nan
0.500 -nan
-nan -nan
0.500 -nan
-nan 0.295
0.643 0.500
0.490 0.645
0.561 0.488
-nan 0.250
-nan -nan
-nan -nan
0.250 -nan
-nan 0.250
-nan -nan
0.250 -nan
0.250 0.250
-nan 0.250
0.667 0.250
0.694 0.617
0.305 0.720
0.250 0.250
0.368 -nan
0.450 -nan
0.312 0.250
0.305 -nan
0.475 -nan
0.382 0.496
0.250 -nan
0.382 0.250
0.694 0.256
0.520 0.876
0.250 0.471
0.250 0.250
0.250 -nan
0.250 -nan
0.250 -nan
0.250 -nan
0.250 -nan
0.250 -nan
0.250 -nan
0.250 -nan
0.481 0.250
0.486 0.421
0.464 0.396
0.571 0.598
0.465 0.422
0.542 0.422
0.527 0.579
0.485 0.471
0.488 0.460
0.538 0.476
0.494 0.554
0.490 0.500
0.496 0.499
0.476 0.468
0.450 0.490
0.473 0.320
0.422 0.560
0.542 0.492
0.450 0.331
0.581 0.320
0.450 0.583
0.571 0.481
0.481 0.545
0.593 0.490
0.422 0.514
0.542 0.494
0.494 0.499
0.652 0.593
0.494 0.499
0.481 0.494
0.570 0.450
0.465 0.250
0.368 0.305
0.368 0.250
0.414 0.250
0.402 0.250
0.346 0.300
0.454 0.250
0.346 0.450
0.346 0.250
0.494 0.250
0.422 0.450
0.368 0.429
0.414 0.388
0.558 0.496
0.250 0.288
0.250 0.250
0.250 0.250
0.250 0.250
0.250 0.250
0.268 0.268
0.250 0.250
0.450 0.346
0.250 -nan
0.400 0.250
0.450 0.490
0.368 0.250
0.250 0.250
0.397 0.250
0.250 0.250
0.400 0.490
0.450 0.250
0.346 0.325
0.250 0.312
0.250 0.250
0.450 -nan
0.431 0.498
0.493 0.490
0.331 0.460
0.346 -nan
0.250 0.250
0.250 -nan
0.346 -nan
0.250 -nan
0.305 -nan
0.250 0.250
0.494 -nan
0.250 0.250
0.533 0.250
0.414 0.293
0.471 0.436
0.250 0.465
0.312 0.250
0.368 0.250
0.250 0.368
0.250 0.250
0.250 0.250
0.312 0.250
0.250 0.250
0.250 0.250
0.331 0.250
0.698 0.568
0.478 0.476
0.250 0.331
0.325 0.250
0.250 0.250
0.250 0.250
0.250 0.250
0.346 0.250
0.250 0.460
0.250 0.250
0.250 0.250
0.481 -nan
0.500 0.727
0.490 0.498
0.598 0.389
0.331 0.378
0.438 0.614
0.346 0.400
0.596 0.471
0.450 0.471
0.499 0.431
0.450 0.431
0.481 0.481
0.481 0.400
0.481 0.440
0.494 0.471
0.485 0.471
0.471 0.471
0.568 0.637
0.450 0.633
0.400 0.346
0.422 0.460
0.331 0.481
0.250 0.331
0.250 0.250
0.250 0.250
0.400 -nan
0.250 0.250
0.250 0.250
0.331 0.250
0.331 0.312
0.250 0.250
0.617 0.494
0.513 0.497
0.450 0.450
0.431 0.407
0.451 0.534
0.434 0.400
0.436 0.400
0.485 0.440
0.490 0.463
0.440 0.429
0.414 0.431
0.486 0.431
0.513 0.561
0.498 0.540
0.508 0.438
0.402 0.343
0.449 0.291
0.450 0.481
0.513 0.460
0.481 0.498
0.429 0.422
0.250 0.250
0.295 0.250
0.250 0.411
0.346 0.250
0.250 0.338
0.250 0.250
0.388 0.388
