-nan -nan
0.996 0.997
0.997 0.996
0.996 0.995
0.995 0.996
0.996 0.997
0.997 0.996
0.998 0.997
0.999 0.999
0.999 1.000
0.999 0.996
0.998 0.999
0.999 0.997
0.999 0.999
0.997 0.999
0.999 0.997
0.999 0.999
0.999 0.999
0.997 0.999
0.998 0.997
0.999 0.999
0.997 0.996
0.999 0.998
0.997 0.998
0.999 0.998
0.997 0.998
0.997 0.995
0.998 0.998
0.995 0.997
0.999 0.999
0.996 0.997
0.998 0.997
0.999 0.998
0.997 0.999
0.999 0.998
0.998 0.999
0.999 0.998
0.996 0.997
0.999 0.999
0.998 0.997
0.999 0.997
0.999 0.999
0.997 0.998
0.998 0.997
0.999 0.999
0.999 0.999
0.995 0.995
0.998 0.998
0.999 0.998
0.998 0.999
0.998 0.998
0.998 0.998
0.999 0.998
0.998 0.998
0.999 0.998
0.998 0.999
0.997 0.998
0.999 0.999
1.000 0.999
0.999 0.999
0.999 0.999
0.998 0.999
1.000 0.999
0.998 0.999
0.997 0.997
0.999 0.999
0.999 0.999
0.999 0.999
0.999 0.998
0.998 0.999
0.998 0.997
0.999 0.999
0.999 0.999
0.998 0.997
0.997 0.998
0.998 1.000
0.999 0.998
0.999 0.999
0.999 0.998
0.998 0.999
0.998 0.999
0.999 0.999
0.999 0.999
0.999 0.997
0.998 0.999
0.999 0.999
0.982 0.986
0.998 0.998
0.989 0.993
0.993 0.994
0.998 0.996
0.996 0.998
0.998 0.997
0.998 0.996
0.998 1.000
0.999 0.998
0.998 0.997
0.997 0.999
0.999 0.999
0.998 0.997
0.998 0.999
0.997 0.997
0.996 0.998
0.997 0.997
0.999 1.000
0.999 0.998
0.998 0.998
0.999 0.999
0.999 0.998
0.997 0.997
0.998 0.999
0.999 0.999
0.999 0.997
0.999 0.998
0.997 0.999
1.000 0.998
0.998 0.999
0.997 0.999
0.998 0.998
0.997 0.995
0.996 0.999
0.999 0.998
0.999 1.000
0.999 0.998
0.997 0.998
0.999 0.998
0.998 0.999
0.999 0.998
0.998 0.998
0.998 0.998
0.998 0.999
0.998 0.996
0.998 0.998
0.998 0.998
0.997 0.997
0.999 0.998
0.997 0.997
1.000 0.998
0.996 0.997
0.999 0.999
0.998 0.997
0.999 0.999
0.998 0.999
0.999 0.997
0.997 0.999
0.999 0.999
0.998 0.998
0.999 0.998
0.997 0.998
0.999 0.998
0.998 0.999
0.999 0.998
0.997 0.998
0.999 0.998
0.998 0.999
0.999 0.998
0.997 0.995
0.999 0.999
0.999 0.999
0.997 0.998
0.999 0.999
0.997 0.998
0.998 0.999
0.999 0.999
0.999 0.998
0.999 0.998
0.998 0.999
0.997 0.997
0.996 0.999
1.000 0.998
0.998 0.998
0.997 0.998
0.998 0.998
0.998 0.998
0.998 0.999
1.000 0.998
0.995 0.998
0.997 0.998
0.999 0.999
0.999 0.998
0.998 0.999
0.998 0.998
0.999 0.998
0.998 0.998
0.999 1.000
0.999 0.997
0.996 0.996
0.998 0.999
0.977 0.982
0.999 0.999
0.999 0.999
0.984 0.985
0.987 0.986
0.986 0.987
0.991 0.990
0.992 0.989
0.989 0.992
0.992 0.987
0.993 0.995
0.989 0.990
0.994 0.993
0.993 0.991
0.994 0.996
0.992 0.993
0.993 0.993
0.995 0.996
0.994 0.993
0.993 0.994
0.996 0.996
0.996 0.996
0.993 0.993
0.995 0.993
0.998 0.997
0.996 0.996
0.998 0.999
0.999 0.998
0.998 0.999
0.998 0.999
1.000 0.999
0.998 0.999
0.999 0.999
1.000 0.999
0.999 0.999
0.998 0.997
0.998 0.999
0.997 0.999
0.999 0.997
0.998 0.999
0.999 0.998
0.999 1.000
0.999 0.998
0.997 0.999
0.999 0.997
0.993 0.992
0.995 0.996
0.993 0.995
0.995 0.993
0.996 0.995
0.995 0.996
0.996 0.997
0.997 0.998
0.999 0.997
0.997 0.996
0.995 0.997
1.000 0.999
0.996 0.997
0.999 0.998
0.998 0.997
0.996 0.998
0.998 0.998
0.999 0.998
0.997 0.997
0.997 0.997
0.998 0.999
0.999 0.999
0.999 0.999
0.999 0.999
0.998 0.997
0.999 0.999
0.999 0.999
0.997 0.999
0.999 0.999
0.999 0.998
0.999 1.000
0.999 0.999
0.999 0.997
0.999 0.999
0.999 0.998
0.999 0.999
0.999 1.000
0.999 0.998
0.998 0.999
0.999 0.999
0.999 0.997
0.997 0.999
0.999 0.998
0.998 0.998
0.998 0.998
0.999 0.998
0.999 0.999
0.995 0.998
1.000 0.999
0.999 0.998
0.999 0.999
0.999 0.999
0.998 0.999
0.999 0.998
0.999 0.999
0.999 0.999
0.996 0.997
0.999 0.999
0.962 0.952
0.999 0.999
0.992 0.994
0.993 0.993
0.991 0.989
0.992 0.992
0.997 0.996
0.997 0.998
0.997 0.997
0.998 0.998
0.997 0.997
0.998 0.999
0.998 0.998
0.998 0.996
0.999 0.999
0.998 0.997
0.999 0.999
0.999 0.999
0.999 0.999
0.999 0.999
0.999 0.998
0.998 0.999
0.999 0.998
0.998 0.999
0.999 0.998
0.998 0.997
0.997 0.998
0.997 0.997
0.999 0.998
0.999 0.999
0.998 0.998
0.998 0.996
0.998 1.000
0.999 0.997
0.998 0.998
0.999 1.000
0.997 0.997
1.000 0.998
0.998 0.998
0.998 0.998
0.998 0.998
0.998 0.999
0.999 0.997
0.999 0.999
0.998 0.999
