0 0 0 0
10 10 0 0
51 51 0 0
93 93 0 10
135 135 0 10
177 176 10 26
219 218 10 30
260 260 10 42
302 302 10 70
344 344 30 79
386 386 30 121
428 427 30 156
470 469 34 198
511 511 70 240
553 553 70 281
595 595 70 323
637 637 87 365
679 678 129 407
721 720 150 449
762 762 150 491
804 804 167 532
846 846 209 574
888 888 251 616
930 929 293 658
962 971 310 700
1000 1013 348 740
1036 1055 390 764
1053 1090 432 786
1077 1132 474 807
1106 1174 516 845
1148 1210 558 865
1188 1241 599 865
1219 1272 641 865
1252 1313 683 865
1291 1349 725 866
1312 1391 767 867
1354 1433 809 867
1396 1475 850 871
1437 1517 892 871
1479 1559 934 871
1521 1600 976 879
1561 1642 1018 879
1603 1684 1060 879
1645 1726 1101 894
1687 1768 1143 895
1724 1810 1185 895
1762 1851 1227 914
1804 1893 1246 927
1843 1935 1288 927
1885 1977 1316 951
1927 2019 1316 991
1969 2060 1316 991
2007 2095 1316 1020
2047 2137 1316 1062
2088 2179 1350 1089
2130 2221 1370 1118
2170 2258 1378 1151
2210 2290 1378 1188
2251 2332 1378 1220
2293 2374 1388 1251
2334 2416 1430 1289
2376 2458 1440 1321
2407 2499 1440 1349
2449 2541 1440 1380
2491 2583 1471 1411
2533 2625 1513 1450
2574 2667 1555 1484
2599 2707 1564 1515
2631 2738 1575 1547
2669 2778 1616 1579
2696 2819 1658 1614
2729 2854 1700 1650
2761 2895 1720 1684
2794 2929 1744 1714
2819 2967 1769 1751
2853 3000 1794 1787
2881 3042 1820 1821
2914 3069 1847 1856
2949 3091 1874 1887
2987 3122 1903 1916
3022 3152 1938 1946
3051 3190 1977 1979
3079 3229 2009 2016
3115 3270 2038 2052
3151 3306 2068 2075
3186 3338 2099 2110
3220 3379 2123 2145
3251 3421 2153 2173
3279 3451 2185 2208
3302 3491 2210 2235
3339 3523 2240 2272
3360 3561 2280 2306
3375 3601 2311 2337
3400 3635 2350 2374
3434 3674 2377 2407
3464 3716 2406 2448
3505 3758 2437 2470
3544 3799 2473 2503
3583 3837 2506 2530
3613 3878 2536 2555
3643 3917 2564 2591
3674 3958 2593 2632
3713 3991 2618 2666
3744 4030 2645 2699
3770 4069 2673 2729
3797 4107 2706 2770
3833 4149 2733 2807
3861 4189 2763 2834
