+2.5882e+09ns 3
+2.59059e+09ns 3
+2.59537e+09ns 3
+2.60015e+09ns 3
+2.63362e+09ns 3
+2.63601e+09ns 3
+2.64318e+09ns 3
+2.64796e+09ns 3
+2.65035e+09ns 3
+2.65513e+09ns 3
+2.65752e+09ns 3
+2.65991e+09ns 3
+2.6623e+09ns 3
+2.66469e+09ns 3
+2.67425e+09ns 3
+2.71011e+09ns 3
+2.71489e+09ns 3
+2.71967e+09ns 3
+2.72445e+09ns 3
+2.73162e+09ns 3
+2.73401e+09ns 3
+2.7364e+09ns 3
+2.73879e+09ns 3
+2.74357e+09ns 3
+2.74835e+09ns 3
+2.75314e+09ns 3
+2.75553e+09ns 3
+2.75792e+09ns 3
+2.76031e+09ns 3
+2.7627e+09ns 3
+2.76509e+09ns 3
+2.76748e+09ns 3
+2.76987e+09ns 3
+2.77226e+09ns 3
+2.77465e+09ns 3
+2.78182e+09ns 3
+2.7866e+09ns 3
+2.78899e+09ns 3
+2.79138e+09ns 3
+2.79377e+09ns 3
+2.80094e+09ns 3
+2.80333e+09ns 3
+2.80811e+09ns 3
+2.82007e+09ns 3
+2.8368e+09ns 3
+2.83919e+09ns 3
+2.84158e+09ns 3
+2.84397e+09ns 3
+2.84636e+09ns 3
+2.84875e+09ns 3
+2.85114e+09ns 3
+2.85353e+09ns 3
+2.86309e+09ns 3
+2.86787e+09ns 3
+2.87027e+09ns 3
+2.87505e+09ns 3
+2.93003e+09ns 3
+2.95393e+09ns 3
+2.95871e+09ns 3
+2.96349e+09ns 3
+3.01608e+09ns 3
+3.05575e+09ns 0
+3.05814e+09ns 0
+3.06053e+09ns 0
+3.06292e+09ns 0
+3.06611e+09ns 0
+3.07248e+09ns 0
+6.82381e+09ns 0
+6.8581e+09ns 0
+6.86049e+09ns 0
+6.86288e+09ns 0
+6.86527e+09ns 0
+6.86766e+09ns 0
+6.87005e+09ns 0
+6.92262e+09ns 0
+6.92501e+09ns 0
+6.92901e+09ns 0
+6.93858e+09ns 0
+6.97124e+09ns 0
+6.97363e+09ns 0
+8.79191e+09ns 0
+8.79671e+09ns 0
+8.7991e+09ns 0
+8.80149e+09ns 0
+8.80707e+09ns 0
+8.84769e+09ns 0
+8.85964e+09ns 0
+1.30444e+10ns 3
+1.30468e+10ns 3
+1.30516e+10ns 3
+1.30635e+10ns 3
+1.30763e+10ns 3
+1.67552e+10ns 0
+1.67575e+10ns 0
+1.67647e+10ns 0
+1.67719e+10ns 0
+1.67886e+10ns 0
+1.67982e+10ns 0
+1.68006e+10ns 0
+1.6803e+10ns 0
+1.68053e+10ns 0
+1.68077e+10ns 0
+1.68667e+10ns 0
+1.68691e+10ns 0
+1.69097e+10ns 0
+1.69129e+10ns 0
+1.69153e+10ns 0
+1.69862e+10ns 0
+1.70364e+10ns 0
+1.70388e+10ns 0
+1.87981e+10ns 0
+1.88005e+10ns 0
+1.88077e+10ns 0
+1.88125e+10ns 0
+1.88149e+10ns 0
+1.88173e+10ns 0
+1.88197e+10ns 0
+1.88221e+10ns 0
+1.88244e+10ns 0
+1.8834e+10ns 0
+1.88364e+10ns 0
+1.88388e+10ns 0
+1.88419e+10ns 0
+1.89663e+10ns 0
+1.8975e+10ns 0
+1.89798e+10ns 0
+1.8987e+10ns 0
+2.20085e+10ns 0
+2.20124e+10ns 0
+2.20284e+10ns 0
+2.22387e+10ns 0
+2.22411e+10ns 0
+2.22435e+10ns 0
+2.43781e+10ns 0
+2.43972e+10ns 0
+2.44251e+10ns 0
+2.44323e+10ns 0
+2.44347e+10ns 0
+3.10139e+10ns 0
+3.3723e+10ns 0
+3.37254e+10ns 0
+3.75245e+10ns 3
+3.98902e+10ns 0
+3.98926e+10ns 0
