-nan -nan
0.900 0.902
0.894 0.900
0.900 0.897
0.903 0.900
0.900 0.900
0.903 0.900
0.900 0.903
0.894 0.900
0.900 0.897
0.902 0.900
0.900 0.900
0.902 0.900
0.900 0.902
0.894 0.900
0.900 0.897
0.902 0.900
0.900 0.900
0.902 0.900
0.900 0.902
0.894 0.900
0.900 0.897
0.902 0.900
0.900 0.900
0.902 0.639
0.900 0.499
0.894 0.499
0.900 0.623
0.903 0.900
0.900 0.900
0.903 0.900
0.900 0.903
0.894 0.900
0.900 0.897
0.902 0.900
0.900 0.900
0.902 0.900
0.900 0.902
0.894 0.900
0.900 0.897
0.902 0.900
0.900 0.900
0.902 0.900
0.900 0.902
0.894 0.900
0.900 0.897
0.902 0.900
0.900 0.900
0.902 0.900
0.900 0.902
0.894 0.900
0.900 0.897
0.903 0.900
0.900 0.900
0.903 0.900
0.900 0.903
0.894 0.900
0.900 0.897
0.902 0.900
0.900 0.900
0.902 0.900
0.900 0.902
0.894 0.900
0.900 0.897
0.902 0.900
0.900 0.900
0.902 0.900
0.900 0.902
0.900 0.900
0.894 0.897
0.900 0.900
0.902 0.900
0.900 0.900
0.902 0.900
0.900 0.902
0.894 0.900
0.900 0.897
0.902 0.900
0.900 0.900
0.902 0.900
0.900 0.902
0.894 0.900
0.900 0.897
0.902 0.900
0.900 0.900
0.902 0.900
0.900 0.902
0.894 0.900
0.900 0.897
0.903 0.900
0.900 0.900
0.903 0.900
0.900 0.903
0.894 0.900
0.900 0.897
0.902 0.900
0.900 0.900
0.902 0.900
0.900 0.902
0.894 0.900
0.900 0.897
0.902 0.900
0.900 0.900
0.902 0.900
0.900 0.724
0.894 0.500
0.900 0.500
0.902 0.713
0.900 0.998
0.902 0.657
0.900 0.902
0.894 0.900
0.900 0.897
0.903 0.900
0.900 0.900
0.903 0.900
0.900 0.903
0.894 0.900
0.900 0.897
0.902 0.900
0.900 0.900
0.902 0.900
0.900 0.902
0.894 0.900
0.900 0.897
0.902 0.900
0.900 0.900
0.902 0.900
0.900 0.902
0.894 0.900
0.900 0.897
0.902 0.900
0.900 0.900
0.902 0.900
0.900 0.902
0.894 0.900
0.900 0.897
0.903 0.900
0.900 0.948
0.903 0.499
0.900 0.500
0.894 0.633
0.900 0.897
0.902 0.900
0.900 0.900
0.902 0.900
0.900 0.902
0.894 0.900
0.900 0.897
0.902 0.900
0.900 0.900
0.902 0.900
0.900 0.902
0.894 0.900
0.900 0.897
0.902 0.900
0.900 0.900
0.902 0.900
0.900 0.902
0.894 0.900
0.900 0.897
0.903 0.900
0.900 0.900
0.903 0.900
0.900 0.903
0.894 0.900
0.900 0.897
0.902 0.900
0.900 0.900
0.902 0.900
0.900 0.902
0.894 0.900
0.900 0.897
0.902 0.900
0.900 0.900
0.902 0.900
0.900 0.902
0.894 0.900
0.900 0.897
0.902 0.900
0.900 0.900
0.902 0.900
0.900 0.902
0.894 0.900
0.900 0.897
0.903 0.900
0.900 0.900
0.903 0.900
0.900 0.903
0.894 0.900
0.900 0.897
0.902 0.900
0.900 0.900
0.902 0.900
0.900 0.902
0.894 0.900
0.900 0.897
0.902 0.900
0.900 0.900
0.902 0.900
0.900 0.902
0.894 0.900
0.900 0.897
0.902 0.900
0.900 0.900
0.902 0.900
0.900 0.902
0.894 0.900
0.900 0.897
0.903 0.900
0.900 0.900
0.903 0.900
0.900 0.903
0.894 0.900
0.900 0.897
0.902 0.900
0.900 0.900
0.902 0.900
0.900 0.972
0.894 0.499
0.900 0.500
0.902 0.713
0.900 0.998
0.902 0.670
0.900 0.902
0.894 0.900
0.900 0.897
0.902 0.900
0.900 0.900
0.902 0.900
0.900 0.902
0.894 0.900
0.900 0.897
0.903 0.900
0.900 0.900
0.903 0.900
0.900 0.903
0.894 0.900
0.900 0.897
0.902 0.900
0.900 0.900
0.902 0.900
0.900 0.902
0.894 0.900
0.900 0.897
0.902 0.900
0.900 0.900
0.902 0.900
0.900 0.902
0.894 0.900
0.900 0.897
0.902 0.900
0.900 0.997
0.902 0.499
0.900 0.499
0.894 0.796
0.900 0.663
0.903 0.900
0.900 0.900
0.903 0.900
0.900 0.903
0.894 0.900
0.900 0.897
0.902 0.900
0.900 0.900
0.902 0.900
0.900 0.902
0.894 0.900
0.900 0.897
0.902 0.900
0.900 0.900
0.902 0.900
0.900 0.902
0.894 0.900
0.900 0.897
0.902 0.900
0.900 0.900
0.902 0.900
0.900 0.902
0.894 0.900
0.900 0.897
0.903 0.900
0.900 0.900
0.903 0.900
0.900 0.903
0.894 0.900
0.900 0.897
0.902 0.900
0.900 0.900
0.902 0.900
0.900 0.902
0.894 0.900
0.900 0.897
0.902 0.900
0.900 0.900
0.902 0.900
0.900 0.902
0.894 0.900
0.900 0.897
0.902 0.900
0.900 0.900
0.902 0.900
0.900 0.902
0.894 0.900
0.900 0.897
0.903 0.900
0.900 0.900
0.903 0.900
0.900 0.903
0.894 0.900
0.900 0.897
0.902 0.900
0.900 0.900
0.902 0.900
0.900 0.902
0.894 0.900
0.900 0.897
0.900 0.900
0.903 0.900
0.900 0.900
0.903 0.902
0.900 0.900
0.894 0.900
0.900 0.897
0.902 0.900
0.900 0.900
0.902 0.900
0.900 0.902
0.894 0.900
0.900 0.897
0.902 0.900
0.900 0.900
0.902 0.992
0.900 0.499
0.894 0.500
0.900 0.846
0.902 0.792
0.900 0.684
0.902 0.900
0.900 0.902
0.894 0.900
0.900 0.897
0.903 0.900
0.900 0.900
0.903 0.900
0.900 0.903
0.894 0.900
0.900 0.897
0.902 0.900
0.900 0.900
0.902 0.900
0.900 0.902
0.894 0.900
0.900 0.897
0.902 0.900
0.900 0.900
0.902 0.900
0.900 0.902
0.894 0.900
0.900 0.897
0.902 0.900
0.900 0.900
0.902 0.900
0.900 0.902
0.894 0.900
0.900 0.897
0.903 0.952
0.900 0.500
0.903 0.499
0.900 0.796
0.894 0.680
0.900 0.897
0.902 0.900
0.900 0.900
0.902 0.900
0.900 0.902
0.894 0.900
0.900 0.897
0.902 0.900
0.900 0.900
0.902 0.900
0.900 0.902
0.894 0.900
0.900 0.897
0.902 0.900
0.900 0.900
0.902 0.900
0.900 0.902
0.894 0.900
0.900 0.897
0.903 0.900
